Nombre,Personaje,Desc_Principal,Desc_1,Atk,Def,Arq1,Arq2,Símbolos,,Link_Imagen,Link_Icono_Coste,Cantidad_Coste,
Metilo,Espíritu del Pantano,Alquilación: Forma un compuesto orgánico pagando -1 elemento requerido.,Es fundamental en la estructura y reactividad de muchos compuestos químicos.,2,2,Función,Orgánica,CH,,Metilo.webp,Gaseoso Oficial.png,2,Gaseoso
Carbonilo,Alma del Viento,"Carbonilación Avanzada: Roba 3 cartas, luego descarta 2.","Es un grupo funcional formado por un carbono unido doblemente a oxígeno (C=O), clave en aldehídos, cetonas y muchas reacciones orgánicas.",2,3,Función,Orgánica,C=O,,Carbonilo.webp,Gaseoso Oficial.png,2,Gaseoso
Peróxido,Blanqueador Divino,Decoloración Total: Remueve todos los efectos de todas las cartas en campo por un turno.,"Es un compuesto que contiene un enlace oxígeno-oxígeno, caracterizado por su alta reactividad y poder oxidante.",3,1,Función,Orgánica,O,,Peróxido.webp,Gaseoso Oficial.png,1,Gaseoso
Cloruro,Gas de la Purificación,Cloración de Choque: Daña 1 carta de cada jugador.,"Es un ion que contiene cloro en estado −1, común en sales, ácidos y numerosos procesos biológicos e industriales.",2,1,Función,Orgánica,Cl,,Cloruro.webp,Gaseoso Oficial.png,1,Gaseoso
Hidroperoxi,Esencia Detonante,Descomposición Térmica: Sacrifica ésta carta para destruir dos cartas enemigas.,"Es un grupo funcional altamente reactivo, presente en peróxidos orgánicos e intermediarios de reacciones de oxidación.",3,1,Función,Orgánica,OOH ,,Hidroperoxi.webp,Gaseoso Oficial.png,3,Gaseoso
Carbonato,Lágrima de Roca,Precipitación Selectiva: Busca 1 compuesto en tu cementerio y ponlo en tu mano.,"Es un ion poliatómico presente en numerosas sales, fundamental en procesos geológicos, biológicos e industriales.",1,3,Función,Orgánica,CO,,Carbonato.webp,Acuoso Oficial.png,2,Acuoso
Hidroxilo,Lágrima Curativa,Hidratación: Cura dos cartas dañadas a vertical.,"Es un grupo funcional muy reactivo, esencial en alcoholes, bases y en muchas reacciones químicas y biológicas.",1,2,Función,Orgánica,OH,,Hidroxilo.webp,Líquido Oficial.png,2,Líquido
Carboxilo,Esencia Corrosiva,Descarboxilación Forzada: Destruye una herramienta del oponente en campo y  descarta 1 carta de su mano al azar.,"Es el grupo funcional característico de los ácidos orgánicos, responsable de su acidez y reactividad química.",1,3,Función,Orgánica,COOH ,,Carboxilo.webp,Acuoso Oficial.png,3,Acuoso
Sulfato,Lágrima del Volcán,Sulfatación Concentrada: Destruye una acción y una herramienta del oponente,"Es un ion poliatómico muy estable, presente en minerales, fertilizantes y numerosos procesos industriales y biológicos.",1,3,Función,Orgánica,SO,,Sulfato.webp,Acuoso Oficial.png,3,Acuoso
Nitrato,Esencia Explosiva,Nitración Explosiva: Destruye 1 carta enemiga y daña otra (colócala horizontal). Devuélve ésta carta a tu baraja y mezcla nuevamente.,"Es un ion poliatómico derivado del ácido nítrico, ampliamente usado en fertilizantes, explosivos y procesos biológicos.",2,2,Función,Orgánica,NO,,Nitrato.webp,Acuoso Oficial.png,3,Acuoso
Fosfato,Sabiduría Ósea,Fosforilación Reguladora: Niega todas las habilidades usadas este turno.,"Es un ion poliatómico esencial para la vida, componente clave del ADN, ATP, fertilizantes y muchos minerales.",1,4,Función,Orgánica,PO,,Fosfato.webp,Acuoso Oficial.png,3,Acuoso
Epóxido,Anillo Protector,Estabilización Epóxica: Todas tus cartas son inmunes a destrucción en éste turno.,"Es un grupo funcional cíclico con un átomo de oxígeno unido a dos carbonos, muy reactivo y clave en síntesis orgánica e industrial.",2,3,Función,Orgánica,C-O-C,,Epóxido.webp,Sólido Oficial.png,2,Sólido